,Australia,Indonesia,Japan,Johnston,Line Islands,Main Hawaiian Islands,Micronesia,Northwest Hawaiian Islands
I,0,0,0,4,0,2,0,15
II,0,0,0,9,3,6,0,28
III,0,0,0,0,6,23,0,7
IV,1,0,0,0,2,11,1,3
IX,0,0,0,0,0,0,0,2
L,0,0,0,0,0,0,0,1
LI,0,0,0,0,0,0,0,1
LIII,0,9,0,0,0,0,0,0
LIII,0,1,0,0,0,0,0,0
LIV,0,1,0,0,0,0,0,0
LIX,0,14,0,0,0,0,0,0
LV,0,1,0,0,0,0,0,0
LVI,0,1,0,0,0,0,0,0
LVII,0,1,0,0,0,0,0,0
LVIII,0,2,0,0,0,0,0,0
LX,0,1,0,0,0,0,0,0
LXI,0,1,0,0,0,0,0,0
LXII,0,1,0,0,0,0,0,0
LXIII,0,2,0,0,0,0,0,0
LXIV,0,2,0,0,0,0,0,0
V,0,0,0,1,8,23,4,13
VI,0,0,0,0,0,0,0,1
VII,0,0,0,0,3,1,0,5
VIII,0,19,0,6,1,10,0,38
X,0,0,0,2,0,0,0,7
XI,0,0,0,0,1,0,0,0
XII,6,62,16,0,22,0,9,0
XIII,0,0,0,0,1,0,0,0
XIV,0,0,0,0,2,0,0,0
XIX,0,0,0,0,0,1,0,0
XL,0,0,0,0,0,1,0,0
XLI,0,0,0,0,0,1,0,0
XLII,0,0,0,0,0,1,0,0
XLIII,0,0,2,0,0,0,0,0
XLIV,0,0,1,0,0,0,0,0
XLIX,0,0,0,0,6,0,0,0
XLV,0,0,9,0,0,0,0,0
XLVI,0,0,6,0,0,0,0,0
XLVII,0,0,2,0,0,0,0,0
XLVIII,0,0,0,0,2,0,0,0
XV,0,0,0,1,0,0,0,0
XVI,0,0,0,3,0,0,0,2
XVII,0,0,0,0,0,1,0,0
XVIII,0,0,0,0,0,2,0,0
XX,0,0,0,0,0,3,0,1
XXI,0,0,0,0,2,0,0,0
XXII,0,0,0,0,1,0,0,0
XXIII,0,0,0,0,3,0,0,0
XXIV,0,0,0,0,0,1,0,2
XXIX,0,0,0,0,0,0,1,0
XXV,0,0,0,0,0,1,0,1
XXVI,0,0,0,0,0,1,0,0
XXVII,0,0,0,0,0,0,0,1
XXVIII,0,0,0,0,0,0,0,1
XXX,4,67,8,0,3,0,1,0
XXXI,0,7,0,0,0,0,4,0
XXXII,0,0,0,0,0,0,1,0
XXXIII,0,0,0,0,0,0,2,0
XXXIV,0,0,0,0,0,0,0,1
XXXIX,0,0,0,0,0,0,0,1
XXXV,0,0,0,0,0,0,0,1
XXXVI,0,0,0,0,0,0,0,1
XXXVII,0,0,0,0,0,0,0,1
XXXVIII,0,1,0,0,0,0,0,1
,,,,,,,,
,,,,,,,,
,,,,,,,,
H1,0,0,0,4,0,2,0,16
H2,4,77,8,0,3,0,1,0
J1,1,19,0,20,23,80,5,114
I1,0,0,0,3,1,0,0,2